"location"
"right wrist"
"hip"
"shank"
"chest"
"wrist"
"ankle"
"low back"
"right thigh"
"left thigh"
"right upper arm"
"left upper arm"
"right ankle"
"left wrist"
"left hip"
"left ankle"
"waist"
"upper arm"
"dominant wrist"
"dominant thigh"
"right hip"
"dominant ankle"
"left ribs"
"shoulder"
"right arm"
"right pocket"
"left pocket"
"arm"
"thigh"
"belt"
"necklace"
"right pants pocket"
"shirt pocket"
"bag"
"non-dominant wrist"
"non-dominant hip"
"right lower arm"
"left lower arm"
"pants pocket"
"hand"
"backpack"
"jacket side pocket"
"jacket top pocket"
"handbag"
"foot"
"pocket"
"chest front pocket"
"ribs front pocket"
"waist front pocket"
"front pants pocket"
"hand while not using phone"
"rear pants pocket"
"hand while using phone"
"next to ears"
"dominant lower arm"
"dominant upper arm"
"lower leg"
"center hip"
"left foot"
"right shoulder"
"head"
"center waist"
"calf"
"midback"
"forearm"
"shin"
"left hand"
"right hand"
"right foot"
"lower neck"
"torso"
"right shank"
"cervix"
"back"
"left pants pocket"
"non-dominant ankle"
"dominant hip"
"left lower ribs"
"side of head"
"side of waist"
"front of waist"
"cm (center of mass)"
"right knee"
"left knee"
"left ear"
"right shoe"
